stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
EGO       Egolzwil                             fkl010h0         MeteoSchweiz                                       8d00'/47d11'             642912/225540    521
EGO       Egolzwil                             dkl010h0         MeteoSchweiz                                       8d00'/47d11'             642912/225540    521
EIN       Einsiedeln                           fkl010h0         MeteoSchweiz                                       8d45'/47d08'             699982/221068    910
EIN       Einsiedeln                           dkl010h0         MeteoSchweiz                                       8d45'/47d08'             699982/221068    910
ELM       Elm                                  fkl010h0         MeteoSchweiz                                       9d11'/46d55'             732265/198424    957
ELM       Elm                                  dkl010h0         MeteoSchweiz                                       9d11'/46d55'             732265/198424    957
ENG       Engelberg                            fkl010h0         MeteoSchweiz                                       8d25'/46d49'             674160/186069    1035
ENG       Engelberg                            dkl010h0         MeteoSchweiz                                       8d25'/46d49'             674160/186069    1035
EVI       Evionnaz                             fkl010h0         MeteoSchweiz                                       7d02'/46d11'             568197/114693    482
EVI       Evionnaz                             dkl010h0         MeteoSchweiz                                       7d02'/46d11'             568197/114693    482
EVO       Evolène / Villa                      fkl010h0         MeteoSchweiz                                       7d31'/46d07'             605412/106748    1825
EVO       Evolène / Villa                      dkl010h0         MeteoSchweiz                                       7d31'/46d07'             605412/106748    1825
FLU       Flühli, LU                           fkl010h0         MeteoSchweiz                                       8d01'/46d53'             644332/193311    939
FLU       Flühli, LU                           dkl010h0         MeteoSchweiz                                       8d01'/46d53'             644332/193311    939
GRA       Fribourg / Grangeneuve               fkl010h0         MeteoSchweiz                                       7d07'/46d46'             575183/180076    650
GRA       Fribourg / Grangeneuve               dkl010h0         MeteoSchweiz                                       7d07'/46d46'             575183/180076    650
FRU       Frutigen                             fkl010h0         MeteoSchweiz                                       7d39'/46d36'             616773/160884    756
FRU       Frutigen                             dkl010h0         MeteoSchweiz                                       7d39'/46d36'             616773/160884    756
GES       Gersau                               fkl010h0         MeteoSchweiz                                       8d31'/46d60'             682509/205571    521
GES       Gersau                               dkl010h0         MeteoSchweiz                                       8d31'/46d60'             682509/205571    521
GIH       Giswil                               fkl010h0         MeteoSchweiz                                       8d11'/46d51'             657322/188976    471
GIH       Giswil                               dkl010h0         MeteoSchweiz                                       8d11'/46d51'             657322/188976    471
GOR       Gornergrat                           fkl010h0         MeteoSchweiz                                       7d47'/45d59'             626900/92512     3129
GOR       Gornergrat                           dkl010h0         MeteoSchweiz                                       7d47'/45d59'             626900/92512     3129
GRE       Grenchen                             fkl010h0         MeteoSchweiz                                       7d25'/47d11'             598218/225349    427
GRE       Grenchen                             dkl010h0         MeteoSchweiz                                       7d25'/47d11'             598218/225349    427
GRH       Grimsel Hospiz                       fkl010h0         MeteoSchweiz                                       8d20'/46d34'             668583/158215    1980
GRH       Grimsel Hospiz                       dkl010h0         MeteoSchweiz                                       8d20'/46d34'             668583/158215    1980
GRO       Grono                                fkl010h0         MeteoSchweiz                                       9d10'/46d15'             733016/124090    323
GRO       Grono                                dkl010h0         MeteoSchweiz                                       9d10'/46d15'             733016/124090    323
GOS       Göschenen                            fkl010h0         MeteoSchweiz                                       8d36'/46d42'             688477/171926    950
GOS       Göschenen                            dkl010h0         MeteoSchweiz                                       8d36'/46d42'             688477/171926    950
HLL       Hallau                               fkl010h0         MeteoSchweiz                                       8d28'/47d42'             677456/283471    419
HLL       Hallau                               dkl010h0         MeteoSchweiz                                       8d28'/47d42'             677456/283471    419
HOE       Hörnli                               fkl010h0         MeteoSchweiz                                       8d56'/47d22'             713516/247756    1132
HOE       Hörnli                               dkl010h0         MeteoSchweiz                                       8d56'/47d22'             713516/247756    1132
KOP       Koppigen                             fkl010h0         MeteoSchweiz                                       7d36'/47d07'             612662/218664    485
KOP       Koppigen                             dkl010h0         MeteoSchweiz                                       7d36'/47d07'             612662/218664    485
BRL       La Brévine                           fkl010h0         MeteoSchweiz                                       6d37'/46d59'             536981/203974    1050
BRL       La Brévine                           dkl010h0         MeteoSchweiz                                       6d37'/46d59'             536981/203974    1050
LAG       Langnau i.E.                         fkl010h0         MeteoSchweiz                                       7d48'/46d56'             628003/198793    743
LAG       Langnau i.E.                         dkl010h0         MeteoSchweiz                                       7d48'/46d56'             628003/198793    743
MLS       Le Moléson                           fkl010h0         MeteoSchweiz                                       7d01'/46d33'             567718/155076    1974
MLS       Le Moléson                           dkl010h0         MeteoSchweiz                                       7d01'/46d33'             567718/155076    1974
LEI       Leibstadt                            fkl010h0         MeteoSchweiz                                       8d11'/47d36'             656373/272121    341
LEI       Leibstadt                            dkl010h0         MeteoSchweiz                                       8d11'/47d36'             656373/272121    341
ATT       Les Attelas                          fkl010h0         MeteoSchweiz                                       7d16'/46d06'             586854/105302    2734
ATT       Les Attelas                          dkl010h0         MeteoSchweiz                                       7d16'/46d06'             586854/105302    2734
CHB       Les Charbonnières                    fkl010h0         MeteoSchweiz                                       6d19'/46d40'             513821/169387    1045
CHB       Les Charbonnières                    dkl010h0         MeteoSchweiz                                       6d19'/46d40'             513821/169387    1045
DIA       Les Diablerets                       fkl010h0         MeteoSchweiz                                       7d12'/46d20'             581914/130622    2964
DIA       Les Diablerets                       dkl010h0         MeteoSchweiz                                       7d12'/46d20'             581914/130622    2964
MAR       Les Marécottes                       fkl010h0         MeteoSchweiz                                       7d01'/46d07'             567375/107577    990
MAR       Les Marécottes                       dkl010h0         MeteoSchweiz                                       7d01'/46d07'             567375/107577    990
LAE       Lägern                               fkl010h0         MeteoSchweiz                                       8d24'/47d29'             672250/259460    844
LAE       Lägern                               dkl010h0         MeteoSchweiz                                       8d24'/47d29'             672250/259460    844
MAS       Marsens                              fkl010h0         MeteoSchweiz                                       7d04'/46d39'             571758/167316    714
MAS       Marsens                              dkl010h0         MeteoSchweiz                                       7d04'/46d39'             571758/167316    714
MAH       Mathod                               fkl010h0         MeteoSchweiz                                       6d34'/46d44'             533458/176567    435
MAH       Mathod                               dkl010h0         MeteoSchweiz                                       6d34'/46d44'             533458/176567    435
MTR       Matro                                fkl010h0         MeteoSchweiz                                       8d55'/46d25'             714263/140943    2171
MTR       Matro                                dkl010h0         MeteoSchweiz                                       8d55'/46d25'             714263/140943    2171
MER       Meiringen                            fkl010h0         MeteoSchweiz                                       8d10'/46d44'             655844/175930    588
MER       Meiringen                            dkl010h0         MeteoSchweiz                                       8d10'/46d44'             655844/175930    588
MOB       Montagnier, Bagnes                   fkl010h0         MeteoSchweiz                                       7d14'/46d04'             583492/102189    839
MOB       Montagnier, Bagnes                   dkl010h0         MeteoSchweiz                                       7d14'/46d04'             583492/102189    839
GEN       Monte Generoso                       fkl010h0         MeteoSchweiz                                       9d01'/45d56'             722503/87456     1600
GEN       Monte Generoso                       dkl010h0         MeteoSchweiz                                       9d01'/45d56'             722503/87456     1600
MRP       Monte Rosa-Plattje                   fkl010h0         MeteoSchweiz                                       7d49'/45d57'             629149/89520     2885
MRP       Monte Rosa-Plattje                   dkl010h0         MeteoSchweiz                                       7d49'/45d57'             629149/89520     2885
MOA       Mosen                                fkl010h0         MeteoSchweiz                                       8d14'/47d15'             660128/232852    453
MOA       Mosen                                dkl010h0         MeteoSchweiz                                       8d14'/47d15'             660128/232852    453
MTE       Mottec                               fkl010h0         MeteoSchweiz                                       7d37'/46d09'             614325/110730    1580
MTE       Mottec                               dkl010h0         MeteoSchweiz                                       7d37'/46d09'             614325/110730    1580
MOE       Möhlin                               fkl010h0         MeteoSchweiz                                       7d53'/47d34'             633053/269147    343
MOE       Möhlin                               dkl010h0         MeteoSchweiz                                       7d53'/47d34'             633053/269147    343
MUB       Mühleberg                            fkl010h0         MeteoSchweiz                                       7d17'/46d58'             587792/202479    479
MUB       Mühleberg                            dkl010h0         MeteoSchweiz                                       7d17'/46d58'             587792/202479    479
NAS       Naluns / Schlivera                   fkl010h0         MeteoSchweiz                                       10d16'/46d49'            815374/188987    2380
NAS       Naluns / Schlivera                   dkl010h0         MeteoSchweiz                                       10d16'/46d49'            815374/188987    2380
OBR       Oberriet / Kriessern                 fkl010h0         MeteoSchweiz                                       9d37'/47d23'             764170/249582    409
OBR       Oberriet / Kriessern                 dkl010h0         MeteoSchweiz                                       9d37'/47d23'             764170/249582    409
AEG       Oberägeri                            fkl010h0         MeteoSchweiz                                       8d36'/47d08'             688728/220956    724
AEG       Oberägeri                            dkl010h0         MeteoSchweiz                                       8d36'/47d08'             688728/220956    724
