stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
CDF       La Chaux-de-Fonds                    dkl010h0         MeteoSchweiz                                       6d48'/47d05'             550919/214861    1017
DOL       La Dôle                              fkl010h1         MeteoSchweiz                                       6d06'/46d25'             497060/142371    1669
DOL       La Dôle                              fkl010h0         MeteoSchweiz                                       6d06'/46d25'             497060/142371    1669
DOL       La Dôle                              dkl010h0         MeteoSchweiz                                       6d06'/46d25'             497060/142371    1669
TAE       Aadorf / Tänikon                     fkl010h1         MeteoSchweiz                                       8d54'/47d29'             710517/259824    539
TAE       Aadorf / Tänikon                     fkl010h0         MeteoSchweiz                                       8d54'/47d29'             710517/259824    539
TAE       Aadorf / Tänikon                     dkl010h0         MeteoSchweiz                                       8d54'/47d29'             710517/259824    539
AIG       Aigle                                fkl010h1         MeteoSchweiz                                       6d55'/46d20'             560404/130713    381
AIG       Aigle                                fkl010h0         MeteoSchweiz                                       6d55'/46d20'             560404/130713    381
AIG       Aigle                                dkl010h0         MeteoSchweiz                                       6d55'/46d20'             560404/130713    381
BAS       Basel / Binningen                    fkl010h1         MeteoSchweiz                                       7d35'/47d32'             610908/265611    316
BAS       Basel / Binningen                    fkl010h0         MeteoSchweiz                                       7d35'/47d32'             610908/265611    316
BAS       Basel / Binningen                    dkl010h0         MeteoSchweiz                                       7d35'/47d32'             610908/265611    316
BER       Bern / Zollikofen                    fkl010h1         MeteoSchweiz                                       7d28'/46d59'             601933/204409    552
BER       Bern / Zollikofen                    fkl010h0         MeteoSchweiz                                       7d28'/46d59'             601933/204409    552
BER       Bern / Zollikofen                    dkl010h0         MeteoSchweiz                                       7d28'/46d59'             601933/204409    552
GVE       Genève / Cointrin                    fkl010h1         MeteoSchweiz                                       6d08'/46d15'             498904/122631    410
GVE       Genève / Cointrin                    fkl010h0         MeteoSchweiz                                       6d08'/46d15'             498904/122631    410
GVE       Genève / Cointrin                    dkl010h0         MeteoSchweiz                                       6d08'/46d15'             498904/122631    410
GOE       Gösgen                               fkl010h1         MeteoSchweiz                                       7d58'/47d22'             640421/245949    380
GOE       Gösgen                               fkl010h0         MeteoSchweiz                                       7d58'/47d22'             640421/245949    380
GOE       Gösgen                               dkl010h0         MeteoSchweiz                                       7d58'/47d22'             640421/245949    380
GUT       Güttingen                            fkl010h1         MeteoSchweiz                                       9d17'/47d36'             738421/273962    440
GUT       Güttingen                            fkl010h0         MeteoSchweiz                                       9d17'/47d36'             738421/273962    440
GUT       Güttingen                            dkl010h0         MeteoSchweiz                                       9d17'/47d36'             738421/273962    440
LUZ       Luzern                               fkl010h1         MeteoSchweiz                                       8d18'/47d02'             665543/209849    454
LUZ       Luzern                               fkl010h0         MeteoSchweiz                                       8d18'/47d02'             665543/209849    454
LUZ       Luzern                               dkl010h0         MeteoSchweiz                                       8d18'/47d02'             665543/209849    454
NEU       Neuchâtel                            fkl010h1         MeteoSchweiz                                       6d57'/47d00'             563086/205559    485
NEU       Neuchâtel                            fkl010h0         MeteoSchweiz                                       6d57'/47d00'             563086/205559    485
NEU       Neuchâtel                            dkl010h0         MeteoSchweiz                                       6d57'/47d00'             563086/205559    485
CGI       Nyon / Changins                      fkl010h1         MeteoSchweiz                                       6d14'/46d24'             506878/139572    458
CGI       Nyon / Changins                      fkl010h0         MeteoSchweiz                                       6d14'/46d24'             506878/139572    458
CGI       Nyon / Changins                      dkl010h0         MeteoSchweiz                                       6d14'/46d24'             506878/139572    458
PAY       Payerne                              fkl010h1         MeteoSchweiz Test                                  6d57'/46d49'             562131/184611    490
PAY       Payerne                              fkl010h0         MeteoSchweiz Test                                  6d57'/46d49'             562131/184611    490
PAY       Payerne                              dkl010h0         MeteoSchweiz                                       6d57'/46d49'             562131/184611    490
PUY       Pully                                fkl010h1         MeteoSchweiz                                       6d40'/46d31'             540819/151510    455
PUY       Pully                                fkl010h0         MeteoSchweiz                                       6d40'/46d31'             540819/151510    455
PUY       Pully                                dkl010h0         MeteoSchweiz                                       6d40'/46d31'             540819/151510    455
SHA       Schaffhausen                         fkl010h1         MeteoSchweiz                                       8d37'/47d41'             688702/282803    438
SHA       Schaffhausen                         fkl010h0         MeteoSchweiz                                       8d37'/47d41'             688702/282803    438
SHA       Schaffhausen                         dkl010h0         MeteoSchweiz                                       8d37'/47d41'             688702/282803    438
STG       St. Gallen                           fkl010h1         MeteoSchweiz                                       9d24'/47d26'             747865/254588    775
STG       St. Gallen                           fkl010h0         MeteoSchweiz                                       9d24'/47d26'             747865/254588    775
STG       St. Gallen                           dkl010h0         MeteoSchweiz                                       9d24'/47d26'             747865/254588    775
WYN       Wynau                                fkl010h1         MeteoSchweiz                                       7d47'/47d15'             626404/233848    421
WYN       Wynau                                fkl010h0         MeteoSchweiz                                       7d47'/47d15'             626404/233848    421
WYN       Wynau                                dkl010h0         MeteoSchweiz                                       7d47'/47d15'             626404/233848    421
CIM       Cimetta                              fkl010h1         MeteoSchweiz                                       8d47'/46d12'             704433/117457    1661
CIM       Cimetta                              fkl010h0         MeteoSchweiz                                       8d47'/46d12'             704433/117457    1661
CIM       Cimetta                              dkl010h0         MeteoSchweiz                                       8d47'/46d12'             704433/117457    1661
OTL       Locarno / Monti                      fkl010h1         MeteoSchweiz                                       8d47'/46d10'             704166/114316    366
OTL       Locarno / Monti                      fkl010h0         MeteoSchweiz                                       8d47'/46d10'             704166/114316    366
OTL       Locarno / Monti                      dkl010h0         MeteoSchweiz                                       8d47'/46d10'             704166/114316    366
LUG       Lugano                               fkl010h1         MeteoSchweiz                                       8d58'/46d00'             717873/95884     273
LUG       Lugano                               fkl010h0         MeteoSchweiz                                       8d58'/46d00'             717873/95884     273
LUG       Lugano                               dkl010h0         MeteoSchweiz                                       8d58'/46d00'             717873/95884     273
MAG       Magadino / Cadenazzo                 fkl010h1         MeteoSchweiz                                       8d56'/46d10'             715479/113161    203
MAG       Magadino / Cadenazzo                 fkl010h0         MeteoSchweiz                                       8d56'/46d10'             715479/113161    203
MAG       Magadino / Cadenazzo                 dkl010h0         MeteoSchweiz                                       8d56'/46d10'             715479/113161    203
PIO       Piotta                               fkl010h1         MeteoSchweiz                                       8d41'/46d31'             695880/152264    990
PIO       Piotta                               fkl010h0         MeteoSchweiz                                       8d41'/46d31'             695880/152264    990
PIO       Piotta                               dkl010h0         MeteoSchweiz                                       8d41'/46d31'             695880/152264    990
SBO       Stabio                               fkl010h1         MeteoSchweiz                                       8d56'/45d51'             716048/77973     351
SBO       Stabio                               fkl010h0         MeteoSchweiz                                       8d56'/45d51'             716048/77973     351
SBO       Stabio                               dkl010h0         MeteoSchweiz                                       8d56'/45d51'             716048/77973     351
WAE       Wädenswil                            fkl010h1         MeteoSchweiz                                       8d41'/47d13'             693847/230744    485
WAE       Wädenswil                            fkl010h0         MeteoSchweiz                                       8d41'/47d13'             693847/230744    485
WAE       Wädenswil                            dkl010h0         MeteoSchweiz                                       8d41'/47d13'             693847/230744    485
REH       Zürich / Affoltern                   fkl010h1         MeteoSchweiz                                       8d31'/47d26'             681432/253548    443
REH       Zürich / Affoltern                   fkl010h0         MeteoSchweiz                                       8d31'/47d26'             681432/253548    443
REH       Zürich / Affoltern                   dkl010h0         MeteoSchweiz                                       8d31'/47d26'             681432/253548    443
SMA       Zürich / Fluntern                    fkl010h1         MeteoSchweiz                                       8d34'/47d23'             685116/248065    555
SMA       Zürich / Fluntern                    fkl010h0         MeteoSchweiz                                       8d34'/47d23'             685116/248065    555
SMA       Zürich / Fluntern                    dkl010h0         MeteoSchweiz                                       8d34'/47d23'             685116/248065    555
KLO       Zürich / Kloten                      fkl010h1         MeteoSchweiz                                       8d32'/47d29'             682710/259338    426
KLO       Zürich / Kloten                      fkl010h0         MeteoSchweiz                                       8d32'/47d29'             682710/259338    426
KLO       Zürich / Kloten                      dkl010h0         MeteoSchweiz                                       8d32'/47d29'             682710/259338    426
