time,latitude,longitude,u10,v10,closest_lon,closest_lat,tpi_500,tpi_1000,tpi_2000
2020-02-12 18:00:00,48.0,5.5,2.6744184,1.9088466,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 00:00:00,48.0,5.5,-0.14793068,2.8932173,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 06:00:00,48.0,5.5,-0.19243896,4.9471226,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 12:00:00,48.0,5.5,3.2076452,7.2557516,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 18:00:00,48.0,5.5,7.242191,4.0693984,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 00:00:00,48.0,5.75,-0.06153226,3.0489674,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 06:00:00,48.0,5.75,-0.01004225,3.1080449,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 12:00:00,48.0,5.75,0.104282945,3.610588,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 18:00:00,48.0,5.75,0.6924905,3.3773468,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-09 00:00:00,48.0,5.75,0.8155428,3.4341226,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-09 06:00:00,48.0,5.75,1.4648402,5.215657,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-09 12:00:00,48.0,5.75,2.2904253,7.0248127,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-09 18:00:00,48.0,5.75,4.1475554,9.625761,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-10 00:00:00,48.0,5.75,5.4828043,9.906571,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-10 06:00:00,48.0,5.75,9.373352,2.8517864,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-10 12:00:00,48.0,5.75,7.5694575,3.073519,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-10 18:00:00,48.0,5.75,6.9402323,4.52514,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-11 00:00:00,48.0,5.75,9.29219,2.256407,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-11 06:00:00,48.0,5.75,6.674928,2.1505277,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-11 12:00:00,48.0,5.75,6.179228,1.3641052,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-11 18:00:00,48.0,5.75,5.9566865,1.3748466,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-12 00:00:00,48.0,5.75,3.982613,1.9111484,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-12 06:00:00,48.0,5.75,3.6885092,2.8303037,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-12 12:00:00,48.0,5.75,4.905942,2.8939846,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-12 18:00:00,48.0,5.75,2.5862746,2.0692,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 00:00:00,48.0,5.75,-0.16451222,2.9507604,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 06:00:00,48.0,5.75,0.16362733,4.52514,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 12:00:00,48.0,5.75,3.3603697,7.4974327,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 18:00:00,48.0,5.75,6.539658,4.3586483,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 00:00:00,48.0,6.0,-0.2482925,2.8003812,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 06:00:00,48.0,6.0,-0.15491241,2.7505105,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 12:00:00,48.0,6.0,0.19679037,3.444864,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 18:00:00,48.0,6.0,0.3137337,3.0581744,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-09 00:00:00,48.0,6.0,0.5415114,3.3712087,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-09 06:00:00,48.0,6.0,1.3496423,5.0330534,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-09 12:00:00,48.0,6.0,2.4920218,6.9051228,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-09 18:00:00,48.0,6.0,4.4137325,9.496098,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-10 00:00:00,48.0,6.0,5.5875297,10.378425,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-10 06:00:00,48.0,6.0,9.209282,3.4993382,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-10 12:00:00,48.0,6.0,7.389679,3.1502433,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-10 18:00:00,48.0,6.0,6.4680953,4.8420105,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-11 00:00:00,48.0,6.0,9.071394,2.570976,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-11 06:00:00,48.0,6.0,6.612093,2.2287865,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-11 12:00:00,48.0,6.0,5.4601135,2.4957864,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-11 18:00:00,48.0,6.0,5.450514,1.7262431,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-12 00:00:00,48.0,6.0,3.2573898,2.3538465,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-12 06:00:00,48.0,6.0,3.4816766,3.1464071,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-12 12:00:00,48.0,6.0,4.5987473,3.394226,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-12 18:00:00,48.0,6.0,2.239808,2.3200881,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 00:00:00,48.0,6.0,-0.53017837,2.8456483,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 06:00:00,48.0,6.0,0.11999175,3.9581485,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 12:00:00,48.0,6.0,3.7452354,7.5265884,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-13 18:00:00,48.0,6.0,5.8694153,4.587286,6.000416666666666,47.83958333333334,162.64285,175.84818,182.78864
2020-02-08 00:00:00,48.0,6.25,-1.0956955,2.4551225,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-08 06:00:00,48.0,6.25,-0.9796248,2.2648468,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-08 12:00:00,48.0,6.25,0.084210575,3.1310623,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-08 18:00:00,48.0,6.25,-0.53279644,2.8464158,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-09 00:00:00,48.0,6.25,-0.14007628,3.4908984,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-09 06:00:00,48.0,6.25,1.0764836,4.90339,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-09 12:00:00,48.0,6.25,2.3811874,6.664976,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-09 18:00:00,48.0,6.25,4.339552,9.034986,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-10 00:00:00,48.0,6.25,5.4583683,10.1482525,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-10 06:00:00,48.0,6.25,9.540913,4.225916,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-10 12:00:00,48.0,6.25,7.6733103,3.2530537,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-10 18:00:00,48.0,6.25,6.5370398,4.928709,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-11 00:00:00,48.0,6.25,8.804344,2.7858036,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-11 06:00:00,48.0,6.25,6.6408925,2.3254588,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-11 12:00:00,48.0,6.25,5.360625,3.213157,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-11 18:00:00,48.0,6.25,5.3972783,1.8712518,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-12 00:00:00,48.0,6.25,3.0470662,2.504226,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-12 06:00:00,48.0,6.25,3.5008762,3.1893725,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-12 12:00:00,48.0,6.25,3.8307612,3.5077777,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-12 18:00:00,48.0,6.25,2.210136,2.4904156,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-13 00:00:00,48.0,6.25,-0.8862447,2.5080621,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-13 06:00:00,48.0,6.25,-0.62617666,3.4908984,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-13 12:00:00,48.0,6.25,3.1500463,7.4843903,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-13 18:00:00,48.0,6.25,5.8685427,4.709278,6.249583333333334,47.83958333333334,106.96425,123.65172,136.82727
2020-02-08 00:00:00,48.0,6.5,-1.4552524,2.3515449,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-08 06:00:00,48.0,6.5,-1.2396929,2.1067948,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
